identity_key,rows,cv_fold,source_group
carbon-tetrachloride,1,2,Bart_Hudson_2001_new6
carbon-tetrafluoride,85,0,unified119;Bull2012_numeric_peak32
carbonyl-sulfide,24,4,unified119
chlorine,1,3,unified119
chlorodifluoromethane,1,4,NIST_new8
chloroethane,28,0,unified119
chloroform,28,1,unified119
chloromethane,45,3,unified119
chlorotrifluoromethane,1,0,unified119
cyclobutane,1,1,Zhong_Bose_exact_identity
cyclohexane,1,2,unified119
cyclohexene,1,3,unified119
cyclopentane,1,4,unified119
cyclopentanone,1,0,Zhong_Bose_exact_identity
cyclopropane,1,1,Zhong_Bose_exact_identity
dibromomethane,1,2,Bart_Hudson_2001_new6
dichlorodifluoromethane,14,3,unified119
dichlorofluoromethane,1,3,NIST_new8
dichloromethane,1,4,Bart_Hudson_2001_dichloromethane
diethyl-ether,57,3,unified119;Bull2012_numeric_peak32
difluoromethane,1,0,Zhong_Bose_exact_identity
difluoromethylene-radical,1,1,Huo2002_CFx_NFx
diisopropyl-ether,1,2,unified119;Bull2012_numeric_peak32
dimethyl-ether,1,3,ALeCS_Bose_connectivity_resolved
dipropyl-ether,57,0,unified119;Bull2012_numeric_peak32
disilane,38,3,NIST_graph_digitized_fast12_2026_08_02
disulfur,26,3,unified119
ethane,57,2,unified119
ethanethiol,49,1,unified119
ethanol,1,4,unified119;Bull2012_numeric_peak32;Nixon2016_Rejoub_absolute_alcohol_curve
ethyl-acetate,57,1,unified119
ethyl-formate,57,4,unified119
ethyl-methyl-ether,1,0,ALeCS_Bose_structure_checked
ethylene,29,1,unified119
ethylene-glycol,1,1,ALeCS_Bose_connectivity_resolved
fluorine,1,2,Zhong_Bose_exact_identity
fluoromethane,1,3,unified119;Bull2012_numeric_peak32
formaldehyde,1,4,unified119
formic-acid,1,0,unified119
furan,1,1,furan;Zhong_Bose_exact_identity
gallium-monochloride,1,2,Scott_Irikura_2005_heavy_element_new5
germane,1,3,BartGamman2021_Fig1_GeH4_single_point
glycolaldehyde,1,4,ALeCS_Bose_connectivity_resolved
hexafluoro-1-3-butadiene,1,0,unified119;Bull2012_numeric_peak32
hexafluoro-2-butyne,1,1,unified119;Bull2012_numeric_peak32
hexafluoroethane,74,4,unified119;Bull2012_numeric_peak32
hexafluoropropene,1,2,unified119;Bull2012_numeric_peak32
hexamethyldisiloxane,1,3,Scott_Irikura_heavy_reconstructed
hexane,1,4,unified119
hydrogen,50,4,unified119
hydrogen-sulfide,47,4,unified119
indene,1,0,unified119
iodomethane,1,1,Scott_Irikura_2005_heavy_element_new5
isobutene,1,2,NIST_new8
isobutyl-acetate,2,3,unified119
isobutyl-formate,2,0,unified119
isobutyraldehyde,57,2,unified119;Bull2012_numeric_peak32
isobutyronitrile,1,3,unified119
isopropyl-acetate,57,1,unified119
isopropyl-formate,57,4,unified119
meta-xylene,1,4,Jiao_new4
methane,57,3,unified119;Bull2012_numeric_peak32
methanol,1,0,unified119;Bull2012_numeric_peak32;Nixon2016_Rejoub_absolute_alcohol_curve
methyl-acetate,57,0,unified119
methyl-formate,57,2,unified119
methyl-radical,25,0,NIST_graph_digitized_fast12_2026_08_02
methylcyclohexane,1,1,Jiao_new4
methylene,26,2,NIST_graph_digitized_fast12_2026_08_02
methylidyne,28,4,NIST_graph_digitized_fast12_2026_08_02
n-butane,1,2,ALeCS_Bose_structure_checked
n-ethylacetamide,1,3,unified119
n-pentane,1,4,ALeCS_Bose_structure_checked
nitric-oxide,80,1,unified119
nitrogen,66,1,unified119;Bull2012_numeric_peak32
nitrogen-difluoride-radical,1,0,Huo2002_CFx_NFx
nitrogen-dioxide,16,1,unified119
nitrogen-trifluoride,1,1,Huo2002_CFx_NFx
nitromethane,1,2,nitromethane_strict
nitrous-oxide,46,0,unified119
octafluoro-2-butene,2,0,unified119
octafluoropropane,76,3,unified119;Bull2012_numeric_peak32
ortho-xylene,1,3,Jiao_new4
oxygen,51,2,unified119
ozone,19,1,NIST_graph_digitized_fast12_2026_08_02
para-xylene,1,4,Jiao_new4
pentan-1-ene,1,0,ALeCS_Bose_structure_checked
pentyl-formate,57,1,unified119
phenol,1,1,Irikura_Bose_new3;Zhong_Bose_exact_identity
phosphine,18,0,BartGamman2021_fig9_12_13_raw_ECP_BEB
pinacolone,57,4,unified119;Bull2012_numeric_peak32
piperidine,1,2,unified119
propane,65,2,unified119
propene,2,1,NIST_new8
propionaldehyde,1,3,unified119;Bull2012_numeric_peak32
propionitrile,1,4,unified119
propyl-acetate,57,3,unified119
propyl-formate,57,0,unified119
propylene-oxide,1,0,unified119
propyne,2,2,NIST_new8
pyridine,1,1,unified119
pyrrole,1,2,unified119
sec-butyl-acetate,2,2,unified119
silane,55,3,NIST_graph_digitized_fast12_2026_08_02
silicon-dichloride,31,4,Kaur2025_SiClx_raw_BEB
silicon-difluoride,29,3,NIST_graph_digitized_fast12_2026_08_02
silicon-monochloride,29,2,Kaur2025_SiClx_raw_BEB
silicon-monofluoride,22,4,NIST_graph_digitized_fast12_2026_08_02
silicon-monohydride,31,4,NIST_graph_digitized_fast12_2026_08_02
silicon-tetrachloride,23,2,BartGamman2021_fig9_12_13_raw_ECP_BEB
silicon-trichloride,30,2,Kaur2025_SiClx_raw_BEB
silicon-trifluoride,31,0,NIST_graph_digitized_fast12_2026_08_02
silyl-radical,31,1,NIST_graph_digitized_fast12_2026_08_02
silylene,31,3,NIST_graph_digitized_fast12_2026_08_02
sulfur-dioxide,80,2,unified119
sulfur-hexafluoride,30,4,unified119
sulfur-pentafluoride-radical,2,3,Tarnovsky1998_Ali2000_SFx
sulfur-trifluoride-radical,2,4,Tarnovsky1998_Ali2000_SFx
tert-butanol,2,0,unified119
tert-butyl-acetate,2,1,unified119
tetrafluoroethene,1,3,unified119;Bull2012_numeric_peak32
tetrahydrofuran,1,4,unified119
tetrahydrofurfuryl-alcohol,1,0,unified119
tetramethylsilane,25,1,unified119
titanium-tetrachloride,1,1,Scott_Irikura_2005_heavy_element_new5
toluene,1,2,unified119
trans-1-2-dichloroethene,1,3,Bart_Hudson_2001_new6
trans-2-butene,1,4,NIST_new8
trichloroacetonitrile,1,0,Scott_Irikura_2005_heavy_element_new5
trichlorofluoromethane,1,1,unified119
trifluoroacetonitrile,1,2,unified119;Bull2012_numeric_peak32
trifluoromethane,1,3,unified119;Bull2012_numeric_peak32
trifluoromethyl-radical,1,4,Huo2002_CFx_NFx
trimethylaluminum,1,0,Scott_Irikura_heavy_reconstructed
trimethylgallium,1,1,Scott_Irikura_heavy_reconstructed
uracil,1,2,DNA_RNA_bases5
water,68,4,unified119
