original_csv_line,identity_key,experimental_peak_energy_eV,model_energy_eV,model_feature_policy,source,verification_level
882,c3h7cl-2,82,,provenance only; not read by the feature matrix,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_no_qec_immediate_numeric_peak_labels_50.csv; source column experimental_energy_eV=NA; tools/train_final_beb_residual_model.py load_peak_labels lines 245-263 explicitly substitutes curve_peak energy for missing experimental energy,numeric carrier / extraction metadata checked
884,c4h9cl-1,80,,provenance only; not read by the feature matrix,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_no_qec_immediate_numeric_peak_labels_50.csv; source column experimental_energy_eV=NA; tools/train_final_beb_residual_model.py load_peak_labels lines 245-263 explicitly substitutes curve_peak energy for missing experimental energy,numeric carrier / extraction metadata checked
1100,carbon-tetrachloride,71,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\bart_hudson2001_new6_strict_peak_pairs_2026_08_02.csv; source_cache/bart_thesis_2003/bart_thesis.pdf Table 3.4 PDF page 62 (printed 43), and Table 5.3 PDF pages 141-142 (printed 122-123); experimental and BEB peak energies are separate columns",original thesis table headers and values visually verified
1320,dibromomethane,78,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\bart_hudson2001_new6_strict_peak_pairs_2026_08_02.csv; source_cache/bart_thesis_2003/bart_thesis.pdf Table 3.4 PDF page 62 (printed 43), and Table 5.3 PDF pages 141-142 (printed 122-123); experimental and BEB peak energies are separate columns",original thesis table headers and values visually verified
1336,dichloromethane,74,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\bart_hudson2001_dichloromethane_strict_peak_pair_2026_08_02.csv; source_cache/bart_thesis_2003/bart_thesis.pdf Table 3.4 PDF page 62 (printed 43), and Table 5.3 PDF pages 141-142 (printed 122-123); experimental and BEB peak energies are separate columns",original thesis table headers and values visually verified
1552,ethane,90,,provenance only; not read by the feature matrix,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_no_qec_immediate_numeric_peak_labels_50.csv; source column experimental_energy_eV=NA; tools/train_final_beb_residual_model.py load_peak_labels lines 245-263 explicitly substitutes curve_peak energy for missing experimental energy,numeric carrier / extraction metadata checked
2244,meta-xylene,80,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\new25_incremental_identity_ledger_2026_08_01.csv; jiao_new4_strict_peak_pairs_2026_08_01.csv and jiao_gupta_new4_published_numeric_beb_peaks.csv; experiment Jiao and Adams, DOI 10.1016/j.cplett.2013.04.051, Abstract/Summary, reported maximum at 80 eV; Gupta et al., DOI 10.1063/1.5081841, Table II, PDF page 9: present maximum Qion (omega-B97X), with no BEB peak-energy column. Author-uploaded primary manuscript text confirms Table II values 20.039, 20.198, 20.211 A^2 for ortho/meta/para respectively.",numeric carrier checked; primary author-uploaded theoretical Table II independently checked; experimental primary abstract/source extraction
2442,methylcyclohexane,65,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\new25_incremental_identity_ledger_2026_08_01.csv; jiao_new4_strict_peak_pairs_2026_08_01.csv and jiao_gupta_new4_published_numeric_beb_peaks.csv; Jiao et al., DOI 10.1016/j.ijms.2010.11.005, pp. 5-6, Tables 2 and 3 and Summary: experimental maximum 17.7 A^2 at 65 eV, independent BEB maximum 21.0 A^2 at 70 eV.",existing exact numerical-carrier extraction checked; primary publication abstract verified; no claim of newly rereading every primary table
2712,octafluoro-2-butene,108,,provenance only; not read by the feature matrix,${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\agent_no_qec_immediate_numeric_peak_labels_50.csv; source column experimental_energy_eV=NA; tools/train_final_beb_residual_model.py load_peak_labels lines 245-263 explicitly substitutes curve_peak energy for missing experimental energy,numeric carrier / extraction metadata checked
2789,ortho-xylene,80,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\new25_incremental_identity_ledger_2026_08_01.csv; jiao_new4_strict_peak_pairs_2026_08_01.csv and jiao_gupta_new4_published_numeric_beb_peaks.csv; experiment Jiao and Adams, DOI 10.1016/j.cplett.2013.04.051, Abstract/Summary, reported maximum at 80 eV; Gupta et al., DOI 10.1063/1.5081841, Table II, PDF page 9: present maximum Qion (omega-B97X), with no BEB peak-energy column. Author-uploaded primary manuscript text confirms Table II values 20.039, 20.198, 20.211 A^2 for ortho/meta/para respectively.",numeric carrier checked; primary author-uploaded theoretical Table II independently checked; experimental primary abstract/source extraction
2873,para-xylene,80,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\new25_incremental_identity_ledger_2026_08_01.csv; jiao_new4_strict_peak_pairs_2026_08_01.csv and jiao_gupta_new4_published_numeric_beb_peaks.csv; experiment Jiao and Adams, DOI 10.1016/j.cplett.2013.04.051, Abstract/Summary, reported maximum at 80 eV; Gupta et al., DOI 10.1063/1.5081841, Table II, PDF page 9: present maximum Qion (omega-B97X), with no BEB peak-energy column. Author-uploaded primary manuscript text confirms Table II values 20.039, 20.198, 20.211 A^2 for ortho/meta/para respectively.",numeric carrier checked; primary author-uploaded theoretical Table II independently checked; experimental primary abstract/source extraction
3800,trans-1-2-dichloroethene,79,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\bart_hudson2001_new6_strict_peak_pairs_2026_08_02.csv; source_cache/bart_thesis_2003/bart_thesis.pdf Table 3.4 PDF page 62 (printed 43), and Table 5.3 PDF pages 141-142 (printed 122-123); experimental and BEB peak energies are separate columns",original thesis table headers and values visually verified
3809,uracil,95,,provenance only; not read by the feature matrix,"${ARCHIVE_ROOT}\outputs\no_qec_priority_2026_07_31\new25_incremental_identity_ledger_2026_08_01.csv; new25_incremental_identity_ledger_2026_08_01.csv; experiment Shafranyosh and Sukhoviya, DOI 10.1063/1.4765307, abstract maximum 10 A^2 at 95 eV; Mozejko and Sanche (2003), DOI 10.1007/s00411-003-0206-7, Table 5, printed p. 207, independent BEB maximum 14.57 A^2 at 85 eV.","numerical carrier and primary experimental abstract checked; source table locator retained, not a claim that all primary data were independently reproduced"
